room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count
133,0,1,0,0,0,0,0,0,0,1,50.0,0,1,no view,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,1,0,0,0,0,0,0,0,1,50.0,0,1,no view,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,1,0,0,1,0,0,0,0,1,50.0,0,1,city,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,0,0,0,1,0,0,0,0,1,20.0,1,1,nature,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,1,0,0,0,0,0,0,0,1,20.0,0,1,city,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1,0,0,0,0,0,0,0,0,1,18.0,0,1,no view,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,1,0,0,0,0,0,0,0,0,1,20.0,0,1,pool,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,1,0,0,0,0,0,0,1,20.0,0,1,pool,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1,0,0,0,0,0,0,0,0,1,24.0,0,1,pool,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1,0,0,0,0,0,0,0,0,1,24.0,0,1,nature,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,1,0,0,0,0,0,0,1,24.0,1,0,garden,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
